;Bubble sort;Quick Sort;Counting Sort;Heap Sort;Selection Sort;Insertion Sort;Merge Sort
100;0.001;0.001319;0.000174522;0.000411749;0.0056;0.029;0.0029
500;0.028;0.008944;0.00048542;0.002948046;0.0002;0.066;0.0864
1000;0.341;0.018272;0.000815392;0.004912853;0.0005;0.1433;0.3232
2000;0.498;0.052824;0.001165867;0.014961481;0.001;0.3456;0.1958
3000;1.337;0.163939;0.002136707;0.018972397;0.0022;0.411;2.7636
4000;1.966;0.08542;0.002213955;0.033014297;0.0196;0.5535;4.9953
5000;3.416;0.139452;0.003846884;0.032113552;0.0706;0.7387;7.4041
6000;5.112;0.174046;0.00370574;0.044530869;0.0031;0.8168;10.8073
7000;5.891;0.178857;0.004905939;0.055470467;0.0051;0.9712;14.5302
8000;8.228;0.157576;0.006412268;0.053216934;0.0041;1.0432;16.1467
9000;9.984;0.148683;0.004464626;0.070281982;0.0053;1.2243;21.2976
10000;31.571;0.172457;0.006911278;0.087525129;0.009;1.3375;27.4283
20000;60.398;0.244699;0.010787249;0.17344451;0.0168;2.629;102.351
30000;143.031;0.568672;0.02380085;0.269664288;0.0206;4.1131;236.9012
40000;232.889;0.482744;0.02247262;0.383490086;0.0383;5.49;445.2529
50000;357.249;0.824107;0.036034107;0.489421368;0.0341;6.858;712.2644
60000;576.719;0.703374;0.036380768;0.58608532;0.0739;8.1136;1103.9996
70000;789.055;0.983544;0.038462639;0.716042519;0.0446;9.5656;1407.6528
80000;980.852;1.018808;0.060677767;0.831990004;0.0571;10.775;1824.7452
90000;2539.128;1.167087;0.052871227;0.953606129;0.0529;12.184;2234.6205
100000;2155.894;1.195754;0.063334465;1.16659832;0.06856;13.751;2734.0525
